Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
777,R.J. Umberger,30,CBJ,C,48,8,10,18,3,16,1.6,6,2,0,0,7,3,0,96,8.3,887,18:29,45,51,54,54,50,umberrj01
778,Scottie Upshall,29,FLA,RW,27,4,1,5,-8,25,0.1,3,1,0,1,1,0,0,54,7.4,364,13:30,6,38,9,5,64.3,upshasc01
779,Alexander Urbom,22,NJD,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,14:11,1,1,0,0,,urbomal01
780,David Van Der Gulik,29,COL,RW,9,0,2,2,2,6,0.2,0,0,0,0,2,0,0,10,0,85,9:26,5,10,4,4,50,vandeda01
781,James van Riemsdyk,23,TOR,LW,48,18,14,32,-7,26,3.6,13,5,0,3,13,1,0,140,12.9,922,19:12,15,55,24,19,55.8,vanrija01
782,Chris VandeVelde,25,EDM,C,11,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,7,0,78,7:03,3,12,21,23,47.7,vandech01
783,Thomas Vanek,29,BUF,LW,38,20,21,41,-1,20,5.5,10,9,1,2,16,5,0,119,16.8,699,18:24,4,13,8,4,66.7,vanekth01
784,Sami Vatanen,21,ANA,D,8,2,0,2,3,0,0.8,1,1,0,0,0,0,0,6,33.3,127,15:49,13,2,0,0,,vatansa01
785,Antoine Vermette,30,PHX,C,48,13,8,21,-3,36,2,10,3,0,3,8,0,0,91,14.3,876,18:15,35,63,482,357,57.4,vermean01
786,Kris Versteeg,26,FLA,RW,10,2,2,4,-8,8,0.1,2,0,0,0,1,1,0,20,10,169,16:53,3,5,0,5,0,verstkr01
787,Tomas Vincour,22,TOT,C,17,2,2,4,-1,4,0.4,2,0,0,0,2,0,0,12,16.7,151,8:52,2,24,0,5,0,vincoto01
787,Tomas Vincour,22,DAL,C,15,2,1,3,0,2,0.3,2,0,0,0,1,0,0,11,18.2,133,8:50,1,22,0,5,0,vincoto01
787,Tomas Vincour,22,COL,C,2,0,1,1,-1,2,0,0,0,0,0,1,0,0,1,0,18,9:04,1,2,0,0,,vincoto01
788,Lubomir Visnovsky,36,NYI,D,35,3,11,14,12,20,3.6,2,1,0,0,4,7,0,69,4.3,798,22:48,52,20,0,0,,visnolu01
789,Joe Vitale,27,PIT,C,33,2,3,5,-7,17,-0.2,2,0,0,1,3,0,0,26,7.7,314,9:31,19,45,157,100,61.1,vitaljo01
790,Marc-Edouard Vlasic,25,SJS,D,48,3,4,7,5,29,3,3,0,0,0,4,0,0,59,5.1,1000,20:49,81,27,0,0,,vlasima01
791,Anton Volchenkov,30,NJD,D,37,1,4,5,-1,37,1.4,1,0,0,0,4,0,0,38,2.6,594,16:03,50,51,0,0,,volchan01
792,Aaron Volpatti,27,TOT,RW,33,1,1,2,-2,35,-0.2,1,0,0,0,1,0,0,21,4.8,275,8:20,10,80,1,3,25,volpaaa01
792,Aaron Volpatti,27,WSH,RW,17,0,1,1,-2,7,-0.3,0,0,0,0,1,0,0,10,0,158,9:18,7,38,1,1,50,volpaaa01
792,Aaron Volpatti,27,VAN,RW,16,1,0,1,0,28,0,1,0,0,0,0,0,0,11,9.1,117,7:19,3,42,0,2,0,volpaaa01
