,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
100,Eric Cairns,24,NYI,D,9,0,3,3,1,23,0.5,0,0,0,0,3,0,0,2,0,92,10:15,cairner01
101,Jim Campbell,25,STL,RW,55,4,21,25,-8,41,1.4,3,1,0,0,13,8,0,99,4,746,13:34,campbji01
102,Guy Carbonneau*,38,DAL,C,74,4,12,16,-3,31,0.5,4,0,0,2,11,1,0,60,6.7,988,13:21,carbogu01
103,Terry Carkner,32,FLA,D,62,2,9,11,0,54,2.3,2,0,0,0,8,0,1,25,8,1130,18:14,carknte01
104,Keith Carney,28,PHX,D,82,2,14,16,15,62,5.1,0,0,2,0,13,0,1,62,3.2,1867,22:46,carneke01
105,Bob Carpenter,35,NJD,C,56,2,8,10,-3,36,-0.3,2,0,0,0,7,1,0,69,2.9,856,15:17,carpebo01
106,Anson Carter,24,BOS,C,55,24,16,40,7,22,5.5,18,6,0,6,13,3,0,123,19.5,1030,18:44,cartean01
107,Andrew Cassels,29,CGY,C,70,12,25,37,-12,18,2.3,7,4,1,3,11,11,3,97,12.4,1328,18:58,cassean01
108,Shawn Chambers,32,DAL,D,61,2,9,11,6,18,3.4,1,1,0,1,5,4,0,82,2.4,1060,17:23,chambsh01
109,Zdeno Chara,21,NYI,D,59,2,6,8,-8,83,1.8,1,0,1,0,6,0,0,56,3.6,1115,18:54,charazd01
110,Eric Charron,29,CGY,D,12,0,1,1,-6,14,-0.3,0,0,0,0,1,0,0,9,0,165,13:45,charrer01
111,Kelly Chase,31,STL,RW,45,3,7,10,2,143,1,3,0,0,1,6,1,0,25,12,267,5:56,chaseke01
112,Vladimir Chebaturkin,23,NYI,D,8,0,0,0,6,12,0.6,0,0,0,0,0,0,0,4,0,138,17:12,chebavl01
113,Chris Chelios*,37,TOT,D,75,9,27,36,1,93,6.2,5,3,1,1,15,11,1,187,4.8,1999,26:39:00,chelich01
113,Chris Chelios*,37,CHI,D,65,8,26,34,-4,89,5.3,5,2,1,0,15,10,1,172,4.7,1776,27:19:00,chelich01
113,Chris Chelios*,37,DET,D,10,1,1,2,5,4,0.9,0,1,0,1,0,1,0,15,6.7,224,22:21,chelich01
114,Steve Chiasson,31,CAR,D,28,1,8,9,7,16,2.1,0,1,0,0,4,4,0,74,1.4,649,23:11,chiasst01
115,Tom Chorske,32,TOT,LW,26,0,3,3,-8,8,-0.5,0,0,0,0,3,0,0,44,0,317,12:11,chorsto01
115,Tom Chorske,32,WSH,LW,17,0,2,2,-4,4,-0.2,0,0,0,0,2,0,0,22,0,194,11:26,chorsto01
115,Tom Chorske,32,CGY,LW,7,0,0,0,-5,2,-0.4,0,0,0,0,0,0,0,13,0,97,13:48,chorsto01
115,Tom Chorske,32,NYI,LW,2,0,1,1,1,2,0.1,0,0,0,0,1,0,0,9,0,26,12:54,chorsto01
116,Dino Ciccarelli*,38,FLA,RW,14,6,1,7,-1,27,1,1,5,0,1,0,1,0,23,26.1,186,13:15,ciccadi01
117,Enrico Ciccone,28,TOT,D,59,3,1,4,-7,127,1,3,0,0,0,1,0,0,52,5.8,659,11:10,ciccoen01
117,Enrico Ciccone,28,WSH,D,43,2,0,2,-6,103,0.6,2,0,0,0,0,0,0,43,4.7,494,11:29,ciccoen01
117,Enrico Ciccone,28,TBL,D,16,1,1,2,-1,24,0.4,1,0,0,0,1,0,0,9,11.1,165,10:18,ciccoen01
118,Brett Clark,22,MTL,D,61,2,2,4,-3,16,1.7,2,0,0,0,2,0,0,36,5.6,804,13:11,clarkbr01
119,Wendel Clark,32,TOT,LW,77,32,16,48,-24,37,5.5,21,11,0,3,12,4,0,215,14.9,1220,15:51,clarkwe01
