,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
803,Vladimir Tarasenko,25,STL,RW,82,39,36,75,-1,12,10.2,30,9,0,8,23,13,0,286,13.6,1515,18:28,31,50,5,5,50,tarasvl01
804,Tomas Tatar,26,DET,LW,82,25,21,46,-8,26,5.4,20,5,0,5,18,3,0,166,15.1,1417,17:17,24,92,8,5,61.5,tatarto01
805,John Tavares,26,NYI,C,77,28,38,66,4,38,7.8,20,7,1,3,26,11,1,260,10.8,1572,20:25,20,42,824,804,50.6,tavarjo01
806,Matt Tennyson,26,CAR,D,45,0,6,6,-13,6,0.3,0,0,0,0,6,0,0,36,0,598,13:17,48,65,0,0,,tennyma01
807,Teuvo Teravainen,22,CAR,LW,81,15,27,42,-6,16,4.1,10,5,0,2,17,10,0,169,8.9,1315,16:14,33,27,193,220,46.7,teravte01
808,Chris Terry,27,MTL,LW,14,2,2,4,-1,4,0.4,2,0,0,0,2,0,0,15,13.3,138,9:53,1,10,1,1,50,terrych01
809,Shea Theodore,21,ANA,D,34,2,7,9,-6,28,1.4,1,1,0,1,5,1,1,60,3.3,589,17:19,30,14,0,0,,theodsh01
810,Nate Thompson,32,ANA,C,30,1,1,2,4,14,0,1,0,0,0,1,0,0,19,5.3,312,10:23,9,69,130,115,53.1,thompna01
811,Paul Thompson,28,FLA,RW,21,0,3,3,-4,22,-0.1,0,0,0,0,3,0,0,19,0,166,7:54,16,48,0,1,0,thomppa02
812,Ben Thomson,24,NJD,LW,3,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,7,0,33,10:53,1,7,0,1,0,thomsbe01
813,Chris Thorburn,33,WPG,RW,64,3,1,4,-7,95,-0.4,2,0,1,0,1,0,0,36,8.3,446,6:59,25,90,13,13,50,thorbch01
814,Joe Thornton,37,SJS,C,79,7,43,50,7,51,4.3,6,1,0,0,25,18,0,81,8.6,1427,18:04,31,52,374,362,50.8,thornjo01
815,Shawn Thornton,39,FLA,LW,50,2,2,4,-7,67,-0.2,2,0,0,0,2,0,0,42,4.8,384,7:41,8,52,5,10,33.3,thornsh01
816,Chris Tierney,22,SJS,C,80,11,12,23,0,6,1.9,9,1,1,2,11,0,1,90,12.2,1168,14:36,44,50,399,424,48.5,tiernch01
817,Matthew Tkachuk,19,CGY,LW,76,13,35,48,14,105,5.4,10,3,0,2,25,10,0,142,9.2,1114,14:40,22,65,8,15,34.8,tkachma01
818,Jonathan Toews,28,CHI,C,72,21,37,58,7,35,6.3,15,6,0,5,26,11,0,199,10.6,1451,20:09,32,43,852,700,54.9,toewsjo01
819,Tyler Toffoli,24,LAK,C,63,16,18,34,6,22,4.4,12,4,0,2,14,3,1,165,9.7,1045,16:35,4,54,2,3,40,toffoty01
820,Sergey Tolchinsky,21,CAR,LW,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0,23,11:29,0,0,0,0,,tolchse01
821,Jordin Tootoo,33,CHI,RW,50,2,1,3,-6,28,-0.3,2,0,0,0,1,0,0,43,4.7,337,6:45,8,52,1,0,100,tootojo01
822,Vincent Trocheck,23,FLA,C,82,23,31,54,-13,43,5.5,21,2,0,2,20,10,1,230,10,1708,20:50,51,164,835,829,50.2,trochvi01
823,Corey Tropp,27,ANA,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:28,0,2,0,0,,troppco01
824,Jacob Trouba,22,WPG,D,60,8,25,33,4,54,5.2,6,2,0,1,22,2,1,154,5.2,1498,24:58:00,118,107,0,0,,troubja01
825,Nikita Tryamkin,22,VAN,D,66,2,7,9,-7,64,2.2,2,0,0,0,7,0,0,65,3.1,1105,16:44,87,145,0,0,,tryamni01
826,Alex Tuch,20,MIN,RW,6,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,8,0,64,10:42,7,5,0,0,,tuchal01
827,Kyle Turris,27,OTT,C,78,27,28,55,-3,47,6.5,21,6,0,6,17,11,0,185,14.6,1521,19:30,61,21,650,575,53.1,turriky01
828,T.J. Tynan,24,CBJ,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,22,7:29,1,1,0,0,,tynant.01
829,Fedor Tyutin,33,COL,D,69,1,12,13,-25,38,1.2,1,0,0,0,12,0,0,46,2.2,1307,18:56,90,116,0,0,,tyutife01
830,Scottie Upshall,33,STL,RW,73,10,8,18,-1,45,1.8,8,0,2,1,8,0,0,85,11.8,802,10:59,21,99,3,9,25,upshasc01
831,James van Riemsdyk,27,TOR,LW,82,29,33,62,-2,37,7.7,23,6,0,5,20,13,0,238,12.2,1303,15:53,29,62,1,4,20,vanrija01
832,Trevor van Riemsdyk,25,CHI,D,58,5,11,16,17,29,4.3,5,0,0,2,11,0,0,73,6.8,1068,18:25,100,22,0,0,,vanritr01
833,Chris VandeVelde,29,PHI,C,81,6,9,15,-5,16,0.7,6,0,0,0,9,0,0,69,8.7,936,11:34,60,114,24,20,54.5,vandech01
834,Thomas Vanek,33,TOT,LW,68,17,31,48,-5,22,5.5,12,5,0,2,23,8,0,133,12.8,979,14:24,5,29,6,9,40,vanekth01
834,Thomas Vanek,33,DET,LW,48,15,23,38,2,16,4.9,10,5,0,2,17,6,0,99,15.2,702,14:37,2,23,6,9,40,vanekth01
834,Thomas Vanek,33,FLA,LW,20,2,8,10,-7,6,0.6,2,0,0,0,6,2,0,34,5.9,278,13:54,3,6,0,0,,vanekth01
835,Phil Varone,26,OTT,C,7,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,1,0,56,7:59,1,3,15,12,55.6,varonph01
836,Sami Vatanen,25,ANA,D,71,3,21,24,3,30,4.9,1,2,0,0,9,12,0,117,2.6,1538,21:40,128,75,0,0,,vatansa01
837,Frank Vatrano,22,BOS,C,44,10,8,18,-3,14,2.2,6,4,0,1,7,1,0,116,8.6,593,13:29,16,51,2,5,28.6,vatrafr01
838,Mike Vecchione,23,PHI,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,17,8:30,1,1,8,4,66.7,vecchmi01
839,Antoine Vermette,34,ANA,C,72,9,19,28,-7,42,2,4,5,0,1,13,6,0,88,10.2,1145,15:54,45,51,744,451,62.3,vermean01
840,Joel Vermin,24,TBL,RW,18,0,3,3,2,4,0.1,0,0,0,0,3,0,0,12,0,197,10:56,7,17,2,1,66.7,vermijo01
841,Kris Versteeg,30,CGY,RW,69,15,22,37,-3,46,3.9,7,8,0,1,14,8,0,136,11,1016,14:44,28,5,53,49,52,verstkr01
