Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
eakinco01,193,Cody Eakin,26.0,TOT,C,69.8,11.4,14.6,26.0,1.2,29.0,2.1,9.4,0.6,1.4,1.6,12.4,1.6,0.6,100.4,10.52
dobsono01,194,Noah Dobson,20.0,NYI,D,34.0,1.0,6.0,7.0,-1.0,8.0,1.2,1.0,0.0,0.0,0.0,5.0,1.0,0.0,37.0,2.7
eavespa01,194,Patrick Eaves,32.5,ANA,RW,35.5,11.0,6.25,17.25,-2.75,13.75,2.1,6.5,4.5,0.0,1.25,4.5,1.75,0.0,76.0,15.35
eberljo01,195,Jordan Eberle,27.0,NYI,RW,73.6,21.0,25.8,46.8,-1.8,16.0,5.04,16.0,5.0,0.0,3.4,19.2,6.6,0.0,172.0,12.3
edleral01,196,Alexander Edler,31.0,VAN,D,61.0,6.6,21.8,28.4,-6.0,53.2,4.84,4.4,2.2,0.0,1.0,13.4,8.2,0.2,133.4,5.04
edmunjo01,197,Joel Edmundson,24.0,CAR,D,67.4,4.0,10.4,14.4,5.0,64.0,3.56,4.0,0.0,0.0,0.4,10.4,0.0,0.0,98.8,3.9200000000000004
ehlerni01,198,Nikolaj Ehlers,21.0,WPG,LW,73.8,23.0,28.4,51.4,6.8,26.0,5.92,18.6,4.2,0.2,4.0,23.0,5.4,0.0,192.6,11.9
djoosch01,199,Christian Djoos,24.0,TOT,D,39.666666666666664,1.6666666666666667,7.333333333333333,9.0,8.333333333333334,4.666666666666667,2.033333333333333,1.6666666666666667,0.0,0.0,0.0,7.0,0.3333333333333333,0.0,35.333333333333336,5.233333333333333
ehrhoch01,199,Christian Ehrhoff,33.0,TOT,D,48.0,2.0,10.0,12.0,-11.0,34.0,1.3,2.0,0.0,0.0,0.0,2.0,8.0,0.0,80.0,2.5
eicheja01,200,Jack Eichel,21.0,BUF,C,70.8,27.4,40.0,67.4,-12.0,27.2,7.419999999999999,19.2,8.0,0.2,4.8,24.0,15.6,0.4,252.6,11.0
donatry01,201,Ryan Donato,22.0,MIN,C,43.333333333333336,9.666666666666666,9.333333333333334,19.0,-2.6666666666666665,6.666666666666667,1.9333333333333333,8.0,1.6666666666666667,0.0,0.6666666666666666,6.333333333333333,3.0,0.0,86.0,14.233333333333334
ekblaaa01,201,Aaron Ekblad,21.0,FLA,D,75.4,11.8,22.8,34.6,3.4,48.6,6.4799999999999995,8.2,3.4,0.2,2.4,17.2,5.4,0.2,184.6,6.34
ekholma01,202,Mattias Ekholm,27.0,NSH,D,78.6,7.4,26.4,33.8,13.8,40.6,6.859999999999999,5.2,1.6,0.6,2.0,20.4,5.0,1.0,133.8,5.5200000000000005
ekmanol01,203,Oliver Ekman-Larsson,26.0,ARI,D,76.6,14.0,28.0,42.0,-15.6,55.6,6.959999999999999,7.0,6.6,0.4,3.0,16.8,10.8,0.4,177.2,7.82
eliaspa01,204,Patrik Elias,39.0,NJD,C,16.0,2.0,6.0,8.0,5.0,10.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,21.0,9.5
eliere01,205,Remi Elie,22.0,BUF,LW,35.333333333333336,2.3333333333333335,5.0,7.333333333333333,2.3333333333333335,9.333333333333334,0.46666666666666673,2.3333333333333335,0.0,0.0,0.3333333333333333,5.0,0.0,0.0,31.333333333333332,5.1
ellerla01,205,Lars Eller,28.0,WSH,C,78.2,14.4,18.4,32.8,-0.4,37.4,2.7399999999999998,12.4,1.2,0.8,1.6,15.6,2.2,0.6,147.8,9.78
