Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Ville Leino,LW,leinovi01,0,442,28.5,54.5,7.25,17.5,24.75,-1.0,13.5,2.025,5.5,1.75,0.0,0.75,14.25,3.25,0.0,61.0,11.175
Pierre-Cedric Labrie,LW,labripi01,0,443,26.0,15.333333333333334,0.6666666666666666,1.0,1.6666666666666667,-1.3333333333333333,21.666666666666668,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,7.666666666666667,4.166666666666667
Nikita Kucherov,RW,kucheni01,1,444,20.5,67.0,19.0,22.5,41.5,20.5,25.5,5.9,16.5,2.5,0.0,2.5,15.5,7.0,0.0,146.5,12.0
Anders Lee,C,leean01,0,444,23.0,33.333333333333336,11.666666666666666,7.333333333333333,19.0,3.0,15.666666666666666,2.733333333333334,9.333333333333334,2.3333333333333335,0.0,2.0,7.0,0.3333333333333333,0.0,89.0,25.3
Anton Lander,C,landean01,0,446,21.5,33.0,2.0,5.0,7.0,-8.5,8.0,0.0,0.75,1.0,0.25,0.5,4.0,0.75,0.25,36.0,3.375
Mark Letestu,C,letesma01,1,447,27.0,61.6,11.4,13.8,25.2,-1.2,10.2,2.48,7.4,3.2,0.8,1.4,10.4,3.0,0.4,103.8,11.1
Gabriel Landeskog,LW,landega01,1,447,20.5,70.25,20.0,28.25,48.25,8.75,55.75,5.75,14.5,4.75,0.75,3.0,22.25,5.5,0.5,203.75,9.7
Trevor Lewis,C,lewistr01,0,449,26.0,67.6,5.2,8.8,14.0,-0.4,14.2,0.74,4.6,0.0,0.6,1.8,8.6,0.0,0.2,110.8,4.58
Evgeny Kuznetsov,C,kuzneev01,0,449,21.5,48.5,7.0,16.0,23.0,4.0,15.0,2.45,4.5,2.0,0.5,0.5,10.5,5.5,0.0,74.5,11.149999999999999
Bryan Little,C,littlbr01,1,454,25.0,70.0,19.2,29.2,48.4,4.8,29.0,5.34,12.8,5.4,1.0,2.6,21.4,6.8,1.0,144.4,12.84
Louis Leblanc,C,leblalo01,0,456,22.0,25.0,2.5,2.5,5.0,2.0,16.0,0.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,32.5,4.3
Andrei Loktionov,C,loktian01,0,456,21.5,38.5,5.5,6.5,12.0,-1.5,5.5,1.2,4.5,1.0,0.0,1.0,4.75,1.75,0.0,52.75,11.6
Matthew Lombardi,C,lombama01,0,457,29.0,30.666666666666668,4.0,4.666666666666667,8.666666666666666,-7.333333333333333,6.0,0.3,3.3333333333333335,0.3333333333333333,0.3333333333333333,1.0,4.333333333333333,0.3333333333333333,0.0,50.333333333333336,5.666666666666667
Curtis Lazar,C,lazarcu01,0,458,19.0,67.0,6.0,9.0,15.0,1.0,14.0,0.8,6.0,0.0,0.0,0.0,9.0,0.0,0.0,92.0,6.5
